id,value,color
Skills,
Skills.Front-End,
Skills.Front-End.HTML5,4,#666547
Skills.Front-End.CSS3/Sass,3,#fb2e01
Skills.Front-End.JavaScript ES6,4,#6fcb9f
Skills.Front-End.AJAX,3,#77bfd1
Skills.Front-End.JSON,3,#b9d982
Skills.Front-End.JavaScript Frameworks,
Skills.Front-End.JavaScript Frameworks.React,4,#722E15
Skills.Front-End.JavaScript Frameworks.React Native,3,#00A0D2
Skills.JavaScript Libraries,
Skills.JavaScript Libraries.OAuth,3,#2a266e
Skills.JavaScript Libraries.D3,3,#4e266e
Skills.JavaScript Libraries.Socket IO,2,#70994c
Skills.JavaScript Libraries.Redux,4,#4c9951
Skills.JavaScript Libraries.Passport,3,#edb27d
Skills.JavaScript Libraries.Express,3,#edb27d
Skills.JavaScript Libraries.Mapbox,2,#edb27d
Skills.Back-End,
Skills.Back-End.NodeJS,4,#00A0D2
Skills.Back-End.REST APIs,3,#d24300
Skills.Back-End.Authentication,3,#d2ac00
Skills.Back-End.Websockets,2,#8200d2
Skills.Back-End.Databases,
Skills.Back-End.Databases.PostgreSQL,3,#00618A
Skills.Back-End.Databases.Sequelize,3,#00618A
Skills.Back-End.Databases.Firebase,3,#C0A257
Skills.Back-End.Databases.AWS,2,#175671
Skills.Tools,
Skills.Tools.TDD,2,#617CBE
Skills.Tools.Agile/Scrum,2,#8161be
Skills.Tools.Git/Github,2,#403411
Skills.Tools.Webpack,2,#808080
